Wed Feb 21 13:02:54 2018
###Command: takeoff###
[68484][PWM]: {'pwm.m4_pwm': 47114.0, 'pwm.m2_pwm': 45648.0, 'pwm.m3_pwm': 46670.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 49946.0}
[68534][PWM]: {'pwm.m4_pwm': 44082.0, 'pwm.m2_pwm': 45545.0, 'pwm.m3_pwm': 46708.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 48084.0}
[68584][PWM]: {'pwm.m4_pwm': 46310.0, 'pwm.m2_pwm': 47156.0, 'pwm.m3_pwm': 48475.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 50214.0}
[68634][PWM]: {'pwm.m4_pwm': 44125.0, 'pwm.m2_pwm': 46860.0, 'pwm.m3_pwm': 46316.0, 'pm.vbat': 3.3255133628845215, 'pwm.m1_pwm': 49491.0}
[68684][PWM]: {'pwm.m4_pwm': 46657.0, 'pwm.m2_pwm': 46460.0, 'pwm.m3_pwm': 47526.0, 'pm.vbat': 3.346627712249756, 'pwm.m1_pwm': 50926.0}
[68734][PWM]: {'pwm.m4_pwm': 44935.0, 'pwm.m2_pwm': 45670.0, 'pwm.m3_pwm': 47392.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 49142.0}
[68784][PWM]: {'pwm.m4_pwm': 46171.0, 'pwm.m2_pwm': 48110.0, 'pwm.m3_pwm': 48154.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 50973.0}
[68834][PWM]: {'pwm.m4_pwm': 45888.0, 'pwm.m2_pwm': 44976.0, 'pwm.m3_pwm': 45763.0, 'pm.vbat': 3.3360705375671387, 'pwm.m1_pwm': 49262.0}
[68884][PWM]: {'pwm.m4_pwm': 44842.0, 'pwm.m2_pwm': 47924.0, 'pwm.m3_pwm': 48364.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 49020.0}
[68934][PWM]: {'pwm.m4_pwm': 45709.0, 'pwm.m2_pwm': 45002.0, 'pwm.m3_pwm': 45104.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 49235.0}
[68984][PWM]: {'pwm.m4_pwm': 46173.0, 'pwm.m2_pwm': 47710.0, 'pwm.m3_pwm': 48319.0, 'pm.vbat': 3.33079195022583, 'pwm.m1_pwm': 49158.0}
[69034][PWM]: {'pwm.m4_pwm': 45124.0, 'pwm.m2_pwm': 45988.0, 'pwm.m3_pwm': 42666.0, 'pm.vbat': 3.3413491249084473, 'pwm.m1_pwm': 50601.0}
###Command: square###
