Wed Feb 21 12:53:39 2018
###Command: takeoff###
[126800][PWM]: {'pwm.m3_pwm': 49537.0, 'pwm.m1_pwm': 44036.0, 'pwm.m4_pwm': 45747.0, 'pwm.m2_pwm': 47799.0, 'pm.vbat': 3.399413585662842}
[126850][PWM]: {'pwm.m3_pwm': 47565.0, 'pwm.m1_pwm': 48226.0, 'pwm.m4_pwm': 47480.0, 'pwm.m2_pwm': 48558.0, 'pm.vbat': 3.409970760345459}
[126900][PWM]: {'pwm.m3_pwm': 48021.0, 'pwm.m1_pwm': 44800.0, 'pwm.m4_pwm': 46696.0, 'pwm.m2_pwm': 46186.0, 'pm.vbat': 3.4152493476867676}
###Command: left###
[126950][PWM]: {'pwm.m3_pwm': 48124.0, 'pwm.m1_pwm': 46285.0, 'pwm.m4_pwm': 45756.0, 'pwm.m2_pwm': 48240.0, 'pm.vbat': 3.409970760345459}
[127000][PWM]: {'pwm.m3_pwm': 35450.0, 'pwm.m1_pwm': 53739.0, 'pwm.m4_pwm': 45018.0, 'pwm.m2_pwm': 47144.0, 'pm.vbat': 3.409970760345459}
[127050][PWM]: {'pwm.m3_pwm': 55658.0, 'pwm.m1_pwm': 31210.0, 'pwm.m4_pwm': 47975.0, 'pwm.m2_pwm': 48007.0, 'pm.vbat': 3.409970760345459}
[127100][PWM]: {'pwm.m3_pwm': 55372.0, 'pwm.m1_pwm': 35510.0, 'pwm.m4_pwm': 47778.0, 'pwm.m2_pwm': 46785.0, 'pm.vbat': 3.409970760345459}
[127150][PWM]: {'pwm.m3_pwm': 17607.0, 'pwm.m1_pwm': 57879.0, 'pwm.m4_pwm': 46420.0, 'pwm.m2_pwm': 52140.0, 'pm.vbat': 3.399413585662842}
[127200][PWM]: {'pwm.m3_pwm': 57629.0, 'pwm.m1_pwm': 35835.0, 'pwm.m4_pwm': 46627.0, 'pwm.m2_pwm': 38369.0, 'pm.vbat': 3.399413585662842}
[127250][PWM]: {'pwm.m3_pwm': 47800.0, 'pwm.m1_pwm': 42272.0, 'pwm.m4_pwm': 47173.0, 'pwm.m2_pwm': 54431.0, 'pm.vbat': 3.394134998321533}
[127300][PWM]: {'pwm.m3_pwm': 44914.0, 'pwm.m1_pwm': 51881.0, 'pwm.m4_pwm': 47762.0, 'pwm.m2_pwm': 43848.0, 'pm.vbat': 3.399413585662842}
[127350][PWM]: {'pwm.m3_pwm': 49887.0, 'pwm.m1_pwm': 46980.0, 'pwm.m4_pwm': 46128.0, 'pwm.m2_pwm': 51662.0, 'pm.vbat': 3.394134998321533}
[127400][PWM]: {'pwm.m3_pwm': 55536.0, 'pwm.m1_pwm': 36646.0, 'pwm.m4_pwm': 48085.0, 'pwm.m2_pwm': 46996.0, 'pm.vbat': 3.394134998321533}
###Command: left###
[127450][PWM]: {'pwm.m3_pwm': 38692.0, 'pwm.m1_pwm': 55945.0, 'pwm.m4_pwm': 44998.0, 'pwm.m2_pwm': 51523.0, 'pm.vbat': 3.4046921730041504}
