time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, bat_volt, power_m1, power_m2, power_m3, power_m4, power_total
3250, 47348, 47146, 49843, 47292, 3.40997076034546, 1.82209808038603, 1.80599777102994, 2.0263244135857, 1.81762807432769, 7.47204833932935
3300, 45048, 46049, 46742, 43741, 3.42580652236938, 1.64266501553096, 1.71970736975047, 1.77399364436389, 1.54452652073338, 6.68089255037871
3350, 48806, 48963, 49432, 47085, 3.40469217300415, 1.94024086529843, 1.95316444214215, 1.99200306953348, 1.80114866253353, 7.68655703950759
3400, 46308, 44946, 45204, 44422, 3.42580652236938, 1.73990553810946, 1.63490587757327, 1.65456466580682, 1.59531244244553, 6.62468852393508
3450, 46710, 49071, 50160, 45592, 3.40469217300415, 1.77146987748399, 1.96207723151194, 2.05297796903704, 1.68433265336221, 7.47085773139518
3500, 46008, 45666, 46239, 43705, 3.43108510971069, 1.71651991072188, 1.69003778126283, 1.73451397562867, 1.54186294754185, 6.68293461515524
3550, 48616, 48931, 48866, 46845, 3.40469217300415, 1.92465318025121, 1.95052716572714, 1.94517519654224, 1.78212820210631, 7.6024837446269
3600, 45559, 45692, 46731, 43321, 3.43108510971069, 1.68179133630204, 1.69204439214293, 1.77312591367045, 1.51358393530492, 6.66054557742034
3650, 47769, 48404, 49946, 47169, 3.40469217300415, 1.85586370231824, 1.90732831114462, 2.03496736709663, 1.80782767344597, 7.60598705400546
3700, 45537, 47256, 46722, 43858, 3.42052793502808, 1.68009810581537, 1.81475715328919, 1.77241609699158, 1.55319781597225, 6.82046917206839
3750, 46151, 49117, 49640, 46073, 3.40997076034546, 1.72764893069759, 1.96587903078038, 2.00933919551162, 1.72157446005086, 7.42444161704044
3800, 44656, 46492, 46157, 43786, 3.43108510971069, 1.6129381489549, 1.75432058136259, 1.72811660472496, 1.54785897731031, 6.64323431235276
3850, 45829, 48625, 49269, 47202, 3.40469217300415, 1.70263577080353, 1.92539025076715, 1.97846532049848, 1.81045466786411, 7.41694600993327
3900, 44231, 47207, 46732, 44772, 3.42580652236938, 1.58099193876985, 1.8108528496973, 1.77320479023481, 1.62170879541082, 6.78675837411279
3950, 46539, 49566, 48804, 47180, 3.42580652236938, 1.75801143499059, 2.00316370703892, 1.94007648595856, 1.80870314416166, 7.50995477214972
4000, 46143, 48734, 44827, 44054, 3.42052793502808, 1.72702545577043, 1.93432720843653, 1.62587495631986, 1.56777436788315, 6.85500198840997
4050, 45773, 49556, 49039, 47964, 3.40997076034546, 1.69830277590458, 2.00232984452993, 1.95943447831968, 1.87159937441243, 7.53166647316662
4100, 44263, 47007, 45631, 46047, 3.42052793502808, 1.58338702683598, 1.79495686473174, 1.68733830390747, 1.71955182090935, 6.78523401638454
