Wed Feb 21 06:10:38 2018
###Command: takeoff###
[319135][PWM]: {'pwm.m4_pwm': 42960.0, 'pwm.m2_pwm': 42803.0, 'pm.vbat': 3.5577714443206787, 'pwm.m1_pwm': 43791.0, 'pwm.m3_pwm': 45063.0}
[319185][PWM]: {'pwm.m4_pwm': 42407.0, 'pwm.m2_pwm': 44511.0, 'pm.vbat': 3.5577714443206787, 'pwm.m1_pwm': 45116.0, 'pwm.m3_pwm': 44847.0}
[319235][PWM]: {'pwm.m4_pwm': 44294.0, 'pwm.m2_pwm': 41883.0, 'pm.vbat': 3.5577714443206787, 'pwm.m1_pwm': 43287.0, 'pwm.m3_pwm': 46058.0}
[319285][PWM]: {'pwm.m4_pwm': 42882.0, 'pwm.m2_pwm': 44181.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 45554.0, 'pwm.m3_pwm': 44902.0}
[319335][PWM]: {'pwm.m4_pwm': 43050.0, 'pwm.m2_pwm': 44816.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 44981.0, 'pwm.m3_pwm': 46412.0}
[319385][PWM]: {'pwm.m4_pwm': 43920.0, 'pwm.m2_pwm': 45386.0, 'pm.vbat': 3.541935443878174, 'pwm.m1_pwm': 46681.0, 'pwm.m3_pwm': 45963.0}
[319435][PWM]: {'pwm.m4_pwm': 42773.0, 'pwm.m2_pwm': 45640.0, 'pm.vbat': 3.5366568565368652, 'pwm.m1_pwm': 46842.0, 'pwm.m3_pwm': 45108.0}
[319485][PWM]: {'pwm.m4_pwm': 43923.0, 'pwm.m2_pwm': 44903.0, 'pm.vbat': 3.541935443878174, 'pwm.m1_pwm': 46518.0, 'pwm.m3_pwm': 45610.0}
[319535][PWM]: {'pwm.m4_pwm': 43325.0, 'pwm.m2_pwm': 45357.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 45574.0, 'pwm.m3_pwm': 46406.0}
[319585][PWM]: {'pwm.m4_pwm': 44204.0, 'pwm.m2_pwm': 45602.0, 'pm.vbat': 3.541935443878174, 'pwm.m1_pwm': 47422.0, 'pwm.m3_pwm': 45476.0}
[319635][PWM]: {'pwm.m4_pwm': 43249.0, 'pwm.m2_pwm': 45638.0, 'pm.vbat': 3.5366568565368652, 'pwm.m1_pwm': 45113.0, 'pwm.m3_pwm': 47131.0}
[319685][PWM]: {'pwm.m4_pwm': 44765.0, 'pwm.m2_pwm': 45408.0, 'pm.vbat': 3.541935443878174, 'pwm.m1_pwm': 47489.0, 'pwm.m3_pwm': 46251.0}
[319735][PWM]: {'pwm.m4_pwm': 42323.0, 'pwm.m2_pwm': 45460.0, 'pm.vbat': 3.5366568565368652, 'pwm.m1_pwm': 45571.0, 'pwm.m3_pwm': 46126.0}
[319785][PWM]: {'pwm.m4_pwm': 43810.0, 'pwm.m2_pwm': 45182.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 47140.0, 'pwm.m3_pwm': 45484.0}
[319835][PWM]: {'pwm.m4_pwm': 41899.0, 'pwm.m2_pwm': 45533.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 45212.0, 'pwm.m3_pwm': 45902.0}
[319885][PWM]: {'pwm.m4_pwm': 43860.0, 'pwm.m2_pwm': 45088.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 46193.0, 'pwm.m3_pwm': 46087.0}
[319935][PWM]: {'pwm.m4_pwm': 41151.0, 'pwm.m2_pwm': 45700.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 46173.0, 'pwm.m3_pwm': 44132.0}
[319985][PWM]: {'pwm.m4_pwm': 43413.0, 'pwm.m2_pwm': 43353.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 45106.0, 'pwm.m3_pwm': 44849.0}
[320035][PWM]: {'pwm.m4_pwm': 41431.0, 'pwm.m2_pwm': 45188.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 45816.0, 'pwm.m3_pwm': 44140.0}
[320085][PWM]: {'pwm.m4_pwm': 42848.0, 'pwm.m2_pwm': 44000.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 44986.0, 'pwm.m3_pwm': 45012.0}
[320135][PWM]: {'pwm.m4_pwm': 41455.0, 'pwm.m2_pwm': 45523.0, 'pm.vbat': 3.55249285697937, 'pwm.m1_pwm': 45205.0, 'pwm.m3_pwm': 44826.0}
[320185][PWM]: {'pwm.m4_pwm': 44056.0, 'pwm.m2_pwm': 45526.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 46374.0, 'pwm.m3_pwm': 45888.0}
[320235][PWM]: {'pwm.m4_pwm': 42249.0, 'pwm.m2_pwm': 47232.0, 'pm.vbat': 3.5366568565368652, 'pwm.m1_pwm': 47257.0, 'pwm.m3_pwm': 45183.0}
[320285][PWM]: {'pwm.m4_pwm': 45161.0, 'pwm.m2_pwm': 45561.0, 'pm.vbat': 3.5366568565368652, 'pwm.m1_pwm': 46952.0, 'pwm.m3_pwm': 46487.0}
[320335][PWM]: {'pwm.m4_pwm': 42891.0, 'pwm.m2_pwm': 47016.0, 'pm.vbat': 3.5313782691955566, 'pwm.m1_pwm': 47565.0, 'pwm.m3_pwm': 45131.0}
[320385][PWM]: {'pwm.m4_pwm': 44434.0, 'pwm.m2_pwm': 45046.0, 'pm.vbat': 3.541935443878174, 'pwm.m1_pwm': 45889.0, 'pwm.m3_pwm': 46314.0}
[320435][PWM]: {'pwm.m4_pwm': 40330.0, 'pwm.m2_pwm': 47419.0, 'pm.vbat': 3.5472142696380615, 'pwm.m1_pwm': 48489.0, 'pwm.m3_pwm': 42215.0}
[320485][PWM]: {'pwm.m4_pwm': 43743.0, 'pwm.m2_pwm': 45280.0, 'pm.vbat': 3.541935443878174, 'pwm.m1_pwm': 46610.0, 'pwm.m3_pwm': 45664.0}
