time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, set_pwm, calc_volt_m1, calc_volt_m2, calc_volt_m3, calc_volt_m4
8850, 15219, 15219, 14922, 14922, 12032, 0.893631475581324, 0.893631475581324, 0.876192185992806, 0.876192185992806
8900, 15219, 15219, 15219, 15219, 12032, 0.893631475581324, 0.893631475581324, 0.893631475581324, 0.893631475581324
8950, 15515, 15515, 15219, 15219, 12288, 0.911012047023079, 0.911012047023079, 0.893631475581324, 0.893631475581324
9000, 15536, 15536, 15536, 15536, 12288, 0.91099376420894, 0.91099376420894, 0.91099376420894, 0.91099376420894
9050, 15831, 15536, 15536, 15536, 12544, 0.928291856410384, 0.91099376420894, 0.91099376420894, 0.91099376420894
9100, 15831, 15831, 15831, 15831, 12544, 0.928291856410384, 0.928291856410384, 0.928291856410384, 0.928291856410384
9150, 16125, 15831, 15831, 15831, 12800, 0.945531311011145, 0.928291856410384, 0.928291856410384, 0.928291856410384
9200, 16125, 16125, 16125, 16125, 12800, 0.945531311011145, 0.945531311011145, 0.945531311011145, 0.945531311011145
9250, 16418, 16125, 16125, 16125, 13056, 0.962712128011224, 0.945531311011145, 0.945531311011145, 0.945531311011145
9300, 16418, 16418, 16418, 16418, 13056, 0.962712128011224, 0.962712128011224, 0.962712128011224, 0.962712128011224
9350, 16709, 16418, 16418, 16418, 13312, 0.979775669809936, 0.962712128011224, 0.962712128011224, 0.962712128011224
9400, 16709, 16709, 16709, 16709, 13312, 0.979775669809936, 0.979775669809936, 0.979775669809936, 0.979775669809936
9450, 17000, 16709, 16709, 16709, 13568, 0.996839211608649, 0.979775669809936, 0.979775669809936, 0.979775669809936
9500, 17000, 17000, 17000, 16709, 13568, 0.996839211608649, 0.996839211608649, 0.996839211608649, 0.979775669809936
9550, 17313, 17023, 17023, 17023, 13824, 1.01379828634238, 0.9968167405075, 0.9968167405075, 0.9968167405075
9600, 17289, 17289, 17289, 17000, 13824, 1.013785478206, 1.013785478206, 1.013785478206, 0.996839211608649
9650, 17577, 17289, 17289, 17289, 14080, 1.03067310720266, 1.013785478206, 1.013785478206, 1.013785478206
9700, 17577, 17577, 17577, 17289, 14080, 1.03067310720266, 1.03067310720266, 1.03067310720266, 1.013785478206
9750, 17888, 17601, 17601, 17601, 14336, 1.04746859273913, 1.03066271806806, 1.03066271806806, 1.03066271806806
9800, 17888, 17888, 17888, 17601, 14336, 1.04746859273913, 1.04746859273913, 1.04746859273913, 1.03066271806806
9850, 18175, 17888, 17888, 17888, 14592, 1.0642744674102, 1.04746859273913, 1.04746859273913, 1.04746859273913
9900, 18175, 18175, 18175, 17888, 14592, 1.0642744674102, 1.0642744674102, 1.0642744674102, 1.04746859273913
9950, 18175, 18175, 18175, 18175, 14592, 1.0642744674102, 1.0642744674102, 1.0642744674102, 1.0642744674102
10000, 18459, 18459, 18459, 18175, 14848, 1.08090467091746, 1.08090467091746, 1.08090467091746, 1.0642744674102
10050, 18459, 18459, 18459, 18459, 14848, 1.08090467091746, 1.08090467091746, 1.08090467091746, 1.08090467091746
10100, 18743, 18743, 18743, 18459, 15104, 1.09753487442472, 1.09753487442472, 1.09753487442472, 1.08090467091746
10150, 18769, 18769, 18769, 18769, 15104, 1.09754558847217, 1.09754558847217, 1.09754558847217, 1.09754558847217
10200, 19052, 19052, 19052, 18769, 15360, 1.11409444038424, 1.11409444038424, 1.11409444038424, 1.09754558847217
10250, 19052, 19052, 19052, 19052, 15360, 1.11409444038424, 1.11409444038424, 1.11409444038424, 1.11409444038424
10300, 19307, 19307, 19026, 19026, 15616, 1.13056105322084, 1.13056105322084, 1.11410652087738, 1.11410652087738
10350, 19334, 19334, 19334, 19334, 15616, 1.13058481578779, 1.13058481578779, 1.13058481578779, 1.13058481578779
10400, 19614, 19614, 19334, 19334, 15872, 1.14695823817429, 1.14695823817429, 1.13058481578779, 1.13058481578779
10450, 19614, 19614, 19614, 19614, 15872, 1.14695823817429, 1.14695823817429, 1.14695823817429, 1.14695823817429
10500, 19894, 19894, 19614, 19614, 16128, 1.16333166056079, 1.16333166056079, 1.14695823817429, 1.14695823817429
10550, 19894, 19894, 19894, 19894, 16128, 1.16333166056079, 1.16333166056079, 1.16333166056079, 1.16333166056079
