time, m1_pwm, set_pwm, voltage
15000, 35652, 33280, 2.10207896233901
15050, 35701, 33280, 2.10207896233901
15100, 35850, 33536, 2.11375905106886
15150, 35850, 33536, 2.11375905106886
15200, 36096, 33792, 2.1253705940057
15250, 36096, 33792, 2.1253705940057
15300, 36292, 34048, 2.13691359114953
15350, 36243, 34048, 2.13691359114953
15400, 36487, 34304, 2.14838804250035
15450, 36487, 34304, 2.14838804250035
15500, 36681, 34560, 2.15979394805817
15550, 36681, 34560, 2.15979394805817
15600, 36681, 34560, 2.15979394805817
15650, 36873, 34816, 2.17113130782298
15700, 37065, 35072, 2.18240012179478
15750, 37065, 35072, 2.18240012179478
15800, 37255, 35328, 2.19360038997358
15850, 37255, 35328, 2.19360038997358
15900, 37444, 35584, 2.20473211235936
15950, 37444, 35584, 2.20473211235936
16000, 37632, 35840, 2.21579528895214
16050, 37632, 35840, 2.21579528895214
16100, 37819, 36096, 2.22678991975191
16150, 37819, 36096, 2.22678991975191
16200, 38004, 36352, 2.23771600475868
16250, 38004, 36352, 2.23771600475868
16300, 38189, 36608, 2.24857354397243
16350, 38189, 36608, 2.24857354397243
16400, 38189, 36608, 2.24857354397243
16450, 38372, 36864, 2.25936253739318
16500, 38372, 36864, 2.25936253739318
16550, 38554, 37120, 2.27008298502092
16600, 38554, 37120, 2.27008298502092
16650, 38735, 37376, 2.28073488685566
16700, 38735, 37376, 2.28073488685566
16750, 38968, 37632, 2.29131824289739
16800, 38915, 37632, 2.29131824289739
16850, 39147, 37888, 2.3018330531461
16900, 39147, 37888, 2.3018330531461
16950, 39324, 38144, 2.31227931760182
17000, 39324, 38144, 2.31227931760182
17050, 39447, 38400, 2.32265703626452
17100, 39501, 38400, 2.32265703626452
17150, 39622, 38656, 2.33296620913422
17200, 39676, 38656, 2.33296620913422
17250, 39850, 38912, 2.34320683621091
17300, 39796, 38912, 2.34320683621091
17350, 40023, 39168, 2.35337891749459
17400, 40023, 39168, 2.35337891749459
17450, 40195, 39424, 2.36348245298526
17500, 40195, 39424, 2.36348245298526
17550, 40366, 39680, 2.37351744268293
17600, 40366, 39680, 2.37351744268293
17650, 40535, 39936, 2.38348388658759
17700, 40535, 39936, 2.38348388658759
17750, 40704, 40192, 2.39338178469924
17800, 40704, 40192, 2.39338178469924
17850, 40871, 40448, 2.40321113701788
17900, 40871, 40448, 2.40321113701788
17950, 41037, 40704, 2.41297194354352
18000, 41037, 40704, 2.41297194354352
18050, 41202, 40960, 2.42266420427615
18100, 41202, 40960, 2.42266420427615
18150, 41365, 41216, 2.43228791921577
18200, 41365, 41216, 2.43228791921577
18250, 41528, 41472, 2.44184308836238
18300, 41528, 41472, 2.44184308836238
18350, 41689, 41728, 2.45132971171599
18400, 41689, 41728, 2.45132971171599
18450, 41849, 41984, 2.46074778927659
18500, 41849, 41984, 2.46074778927659
18550, 42008, 42240, 2.47009732104418
18600, 42008, 42240, 2.47009732104418
18650, 42166, 42496, 2.47937830701876
18700, 42166, 42496, 2.47937830701876
18750, 42323, 42752, 2.48859074720034
18800, 42323, 42752, 2.48859074720034
18850, 42479, 43008, 2.49773464158891
18900, 42537, 43008, 2.49773464158891
18950, 42633, 43264, 2.50680999018447
19000, 42691, 43264, 2.50680999018447
19050, 42845, 43520, 2.51581679298702
19100, 42786, 43520, 2.51581679298702
19150, 42997, 43776, 2.52475504999657
19200, 42997, 43776, 2.52475504999657
19250, 43148, 44032, 2.53362476121311
19300, 43148, 44032, 2.53362476121311
19350, 43298, 44288, 2.54242592663664
19400, 43298, 44288, 2.54242592663664
19450, 43447, 44544, 2.55115854626716
19500, 43387, 44544, 2.55115854626716
19550, 43594, 44800, 2.55982262010468
19600, 43594, 44800, 2.55982262010468
19650, 43741, 45056, 2.56841814814919
19700, 43741, 45056, 2.56841814814919
19750, 43886, 45312, 2.57694513040069
19800, 43886, 45312, 2.57694513040069
19850, 44030, 45568, 2.58540356685919
19900, 44030, 45568, 2.58540356685919
19950, 44173, 45824, 2.59379345752467
20000, 44173, 45824, 2.59379345752467
20050, 44314, 46080, 2.60211480239715
20100, 44314, 46080, 2.60211480239715
20150, 44455, 46336, 2.61036760147662
20200, 44455, 46336, 2.61036760147662
20250, 44594, 46592, 2.61855185476309
20300, 44594, 46592, 2.61855185476309
20350, 44733, 46848, 2.62666756225654
20400, 44733, 46848, 2.62666756225654
20450, 44870, 47104, 2.63471472395699
20500, 44870, 47104, 2.63471472395699
20550, 45006, 47360, 2.64269333986443
20600, 45006, 47360, 2.64269333986443
20650, 45140, 47616, 2.65060340997887
20700, 45140, 47616, 2.65060340997887
20750, 45274, 47872, 2.65844493430029
20800, 45274, 47872, 2.65844493430029
20850, 45406, 48128, 2.66621791282871
20900, 45406, 48128, 2.66621791282871
20950, 45537, 48384, 2.67392234556412
21000, 45600, 48384, 2.67392234556412
21050, 45667, 48640, 2.68155823250653
21100, 45730, 48640, 2.68155823250653
21150, 45859, 48896, 2.68912557365592
21200, 45859, 48896, 2.68912557365592
21250, 45987, 49152, 2.69662436901231
21300, 45987, 49152, 2.69662436901231
21350, 46114, 49408, 2.70405461857569
21400, 46114, 49408, 2.70405461857569
21450, 46239, 49664, 2.71141632234607
21500, 46239, 49664, 2.71141632234607
21550, 46364, 49920, 2.71870948032343
21600, 46364, 49920, 2.71870948032343
21650, 46487, 50176, 2.72593409250779
21700, 46487, 50176, 2.72593409250779
21750, 46609, 50432, 2.73309015889914
21800, 46609, 50432, 2.73309015889914
21850, 46730, 50688, 2.74017767949748
21900, 46730, 50688, 2.74017767949748
21950, 46850, 50944, 2.74719665430282
22000, 46850, 50944, 2.74719665430282
22050, 46968, 51200, 2.75414708331515
22100, 46968, 51200, 2.75414708331515
22150, 47085, 51456, 2.76102896653447
22200, 47085, 51456, 2.76102896653447
22250, 47202, 51712, 2.76784230396078
22300, 47202, 51712, 2.76784230396078
22350, 47317, 51968, 2.77458709559409
22400, 47317, 51968, 2.77458709559409
22450, 47431, 52224, 2.78126334143439
22500, 47431, 52224, 2.78126334143439
22550, 47543, 52480, 2.78787104148168
22600, 47543, 52480, 2.78787104148168
22650, 47655, 52736, 2.79441019573596
22700, 47655, 52736, 2.79441019573596
22750, 47765, 52992, 2.80088080419724
22800, 47765, 52992, 2.80088080419724
22850, 47874, 53248, 2.80728286686551
22900, 47874, 53248, 2.80728286686551
22950, 48048, 53504, 2.81361638374077
23000, 48048, 53504, 2.81361638374077
23050, 48155, 53760, 2.81988135482302
23100, 48155, 53760, 2.81988135482302
23150, 48195, 54016, 2.82607778011227
23200, 48261, 54016, 2.82607778011227
23250, 48366, 54272, 2.83220565960851
23300, 48366, 54272, 2.83220565960851
23350, 48469, 54528, 2.83826499331174
23400, 48469, 54528, 2.83826499331174
23450, 48572, 54784, 2.84425578122196
23500, 48572, 54784, 2.84425578122196
23550, 48673, 55040, 2.85017802333918
23600, 48673, 55040, 2.85017802333918
23650, 48773, 55296, 2.85603171966339
23700, 48773, 55296, 2.85603171966339
23750, 48871, 55552, 2.86181687019459
23800, 48871, 55552, 2.86181687019459
23850, 48969, 55808, 2.86753347493278
23900, 48969, 55808, 2.86753347493278
23950, 49066, 56064, 2.87318153387797
